code;label-en_US;allowed_extensions;auto_option_sorting;available_locales;date_max;date_min;decimals_allowed;default_metric_unit;default_value;group;localizable;max_characters;max_file_size;metric_family;minimum_input_length;negative_allowed;number_max;number_min;reference_data_name;scopable;sort_order;type;unique;useable_as_grid_filter;validation_regexp;validation_rule;wysiwyg_enabled
image_9;"Image 9";;;;;;;;;media;0;;;;;;;;;0;30;pim_catalog_image;0;1;;;
image_10;"Image 10";;;;;;;;;media;0;;;;;;;;;0;32;pim_catalog_image;0;1;;;
product_description;"Product Description";;;;;;;;;webinfo;0;;;;;;;;;0;11;pim_catalog_textarea;0;1;;;1
care_info;"Care Info";;;;;;;;;webinfo;0;;;;;;;;;0;12;pim_catalog_textarea;0;1;;;1
warranty;Warranty;;;;;;;;;coreinfo;0;;;;;;;;;0;14;pim_catalog_textarea;0;1;;;
option_sku;"Option SKU";;;;;;;;;coreinfo;0;;;;;;;;;0;3;pim_catalog_text;0;1;;;
sku_type;"SKU Type";;;;;;;;;coreinfo;0;;;;;;;;;0;1;pim_catalog_simpleselect;0;1;;;
base_sku;"Base SKU";;;;;;;;;coreinfo;0;;;;;;;;;0;2;pim_catalog_text;0;1;;;
price;Price;;;;;;1;;;pricing;0;;;;;1;;;;0;0;pim_catalog_number;0;1;;;
specs_info;"*Specs Info";;;;;;;;;dimensions;0;;;;;;;;;0;0;pim_catalog_textarea;0;1;;;1
shipping_info;"*Shipping Info";;;;;;;;;webinfo;0;;;;;;;;;0;13;pim_catalog_textarea;0;1;;;1
pdp_promo_text;"PDP Promo Text";;;;;;;;;marketing;0;;;;;;;;;0;2;pim_catalog_text;0;1;;;
plp_promo_text;"PLP Promo Text";;;;;;;;;marketing;0;;;;;;;;;0;2;pim_catalog_text;0;1;;;
highlight_4;"Highlight 4";;;;;;;;;webinfo;0;;;;;;;;;0;8;pim_catalog_text;0;1;;;
bc_width_range;"BC Width Range";;;;;;;;;other;0;;;;;;;;;0;14;pim_catalog_textarea;0;1;;;
bc_depth_range;"BC Depth Range";;;;;;;;;other;0;;;;;;;;;0;14;pim_catalog_textarea;0;1;;;
bc_height_range;"BC Height Range";;;;;;;;;other;0;;;;;;;;;0;14;pim_catalog_textarea;0;1;;;
bc_length_range;"BC Length Range";;;;;;;;;other;0;;;;;;;;;0;14;pim_catalog_textarea;0;1;;;
bc_style;"BC Style";;;;;;;;;other;0;;;;;;;;;0;14;pim_catalog_textarea;0;1;;;
bc_shape;"BC Shape";;;;;;;;;other;0;;;;;;;;;0;14;pim_catalog_textarea;0;1;;;
bc_fuel;"BC Fuel";;;;;;;;;other;0;;;;;;;;;0;14;pim_catalog_textarea;0;1;;;
